"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "HTML", "Markdown", "XML", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\hooks\map\useFlood.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 1, 20, 107
"f:\urbanReality\urban-reality-os\src\hooks\map\useMapInit.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 2, 14, 111
"f:\urbanReality\urban-reality-os\src\hooks\map\useMapLibreEvents.jsx", "JavaScript JSX", 0, 0, 189, 0, 0, 0, 0, 20, 30, 239
"f:\urbanReality\urban-reality-os\src\hooks\map\useTerrain.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 3, 17, 93
"f:\urbanReality\urban-reality-os\src\hooks\useLocationMetrics.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 4, 16, 113
"f:\urbanReality\urban-reality-os\src\index.css", "PostCSS", 0, 0, 0, 38, 0, 0, 0, 4, 6, 48
"f:\urbanReality\urban-reality-os\src\main.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 1, 5, 32
"f:\urbanReality\urban-reality-os\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"f:\urbanReality\urban-reality-os\src\utils\aqi.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 6, 11, 66
"f:\urbanReality\urban-reality-os\src\utils\demographics.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 21, 12, 65
"f:\urbanReality\urban-reality-os\src\utils\economicLoss.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 6, 7, 37
"f:\urbanReality\urban-reality-os\src\utils\economics.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 2, 10, 119
"f:\urbanReality\urban-reality-os\src\utils\fetchers.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"f:\urbanReality\urban-reality-os\src\utils\gemini.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 21, 16, 129
"f:\urbanReality\urban-reality-os\src\utils\impactModel.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 14, 20, 127
"f:\urbanReality\urban-reality-os\src\utils\rainfall.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"f:\urbanReality\urban-reality-os\src\utils\safeFetch.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"f:\urbanReality\urban-reality-os\src\utils\worldBank.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 17, 26, 154
"f:\urbanReality\urban-reality-os\tailwind.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 2, 15
"f:\urbanReality\urban-reality-os\vite.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"f:\urbanReality\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"Total", "-", 1486, 9104, 6014, 38, 12, 170, 1, 438, 1021, 18284
