"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Markdown", "XML", "PostCSS", "HTML", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\src\components\terrain\FloodSimulationLayer.jsx", "JavaScript JSX", 0, 0, 312, 0, 0, 0, 0, 10, 37, 359
"f:\urbanReality\urban-reality-os\src\components\terrain\GreenCoverLayer.jsx", "JavaScript JSX", 0, 0, 339, 0, 0, 0, 0, 25, 46, 410
"f:\urbanReality\urban-reality-os\src\components\terrain\HeatLayer.jsx", "JavaScript JSX", 0, 0, 359, 0, 0, 0, 0, 16, 40, 415
"f:\urbanReality\urban-reality-os\src\components\terrain\RoadPlannerLayer.jsx", "JavaScript JSX", 0, 0, 485, 0, 0, 0, 0, 18, 60, 563
"f:\urbanReality\urban-reality-os\src\components\terrain\SuitabilityLayer.jsx", "JavaScript JSX", 0, 0, 351, 0, 0, 0, 0, 14, 38, 403
"f:\urbanReality\urban-reality-os\src\components\terrain\TerrainController.jsx", "JavaScript JSX", 0, 0, 172, 0, 0, 0, 0, 2, 17, 191
"f:\urbanReality\urban-reality-os\src\components\terrain\TerrainLayer.jsx", "JavaScript JSX", 0, 0, 231, 0, 0, 0, 0, 3, 13, 247
"f:\urbanReality\urban-reality-os\src\config\performance.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 9, 9, 60
"f:\urbanReality\urban-reality-os\src\constants\mapConstants.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 3, 12, 99
"f:\urbanReality\urban-reality-os\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 0, 1, 8, 50
"f:\urbanReality\urban-reality-os\src\engines\CityBrain.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"f:\urbanReality\urban-reality-os\src\engines\DataEngine.js", "JavaScript", 179, 0, 0, 0, 0, 0, 0, 52, 32, 263
"f:\urbanReality\urban-reality-os\src\engines\FacilityEngine.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 32, 30, 217
"f:\urbanReality\urban-reality-os\src\engines\InteractionEngine.js", "JavaScript", 133, 0, 0, 0, 0, 0, 0, 62, 23, 218
"f:\urbanReality\urban-reality-os\src\engines\LayerEngine.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 38, 18, 131
"f:\urbanReality\urban-reality-os\src\engines\MapEngine.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 42, 18, 163
"f:\urbanReality\urban-reality-os\src\engines\SimulationEngine.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 9, 61
"f:\urbanReality\urban-reality-os\src\engines\TerrainEngine.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 27, 200
"f:\urbanReality\urban-reality-os\src\hooks\map\useCinematic.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 5, 11, 68
"f:\urbanReality\urban-reality-os\src\hooks\map\useDataFetching.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 9, 78
"f:\urbanReality\urban-reality-os\src\hooks\map\useFlood.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 1, 20, 107
"f:\urbanReality\urban-reality-os\src\hooks\map\useMapInit.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 2, 14, 111
"f:\urbanReality\urban-reality-os\src\hooks\map\useMapLibreEvents.jsx", "JavaScript JSX", 0, 0, 189, 0, 0, 0, 0, 20, 30, 239
"f:\urbanReality\urban-reality-os\src\hooks\map\useSimulation.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 1, 8, 50
"f:\urbanReality\urban-reality-os\src\hooks\map\useTerrain.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
"f:\urbanReality\urban-reality-os\src\hooks\map\useTerrainLayers.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"f:\urbanReality\urban-reality-os\src\hooks\useCameraControls.js", "JavaScript", 166, 0, 0, 0, 0, 0, 0, 9, 24, 199
"f:\urbanReality\urban-reality-os\src\hooks\useFloodAnimation.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 11, 17, 109
"f:\urbanReality\urban-reality-os\src\hooks\useInteractions.js", "JavaScript", 253, 0, 0, 0, 0, 0, 0, 16, 40, 309
"f:\urbanReality\urban-reality-os\src\hooks\useKeyboardShortcuts.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 4, 5, 30
"f:\urbanReality\urban-reality-os\src\hooks\useLayerSync.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 12, 20, 117
"f:\urbanReality\urban-reality-os\src\hooks\useLocationMetrics.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 4, 16, 113
"f:\urbanReality\urban-reality-os\src\hooks\useMapEngine.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 15, 21, 151
"f:\urbanReality\urban-reality-os\src\hooks\useOptimizations.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 10, 15, 83
"f:\urbanReality\urban-reality-os\src\hooks\useSimulationEngine.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"f:\urbanReality\urban-reality-os\src\hooks\useTerrainSystem.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"f:\urbanReality\urban-reality-os\src\hooks\useYearProjection.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 3, 11, 73
"f:\urbanReality\urban-reality-os\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 109, 0, 9, 25, 143
"f:\urbanReality\urban-reality-os\src\layers\AqiLayerPlugin.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 10, 6, 70
"f:\urbanReality\urban-reality-os\src\layers\BaseLayerPlugin.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 36, 9, 107
"f:\urbanReality\urban-reality-os\src\layers\BuildingsLayerPlugin.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 11, 7, 56
"f:\urbanReality\urban-reality-os\src\layers\FacilityLayerPlugin.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 23, 12, 111
"f:\urbanReality\urban-reality-os\src\layers\FloodLayerPlugin.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 21, 10, 111
"f:\urbanReality\urban-reality-os\src\layers\LayerRegistry.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 42, 10, 107
"f:\urbanReality\urban-reality-os\src\layers\TrafficLayerPlugin.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 12, 10, 89
"f:\urbanReality\urban-reality-os\src\layers\terrain\ElevationLayerPlugin.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 16, 11, 122
"f:\urbanReality\urban-reality-os\src\layers\terrain\SuitabilityLayerPlugin.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 4, 23, 165
"f:\urbanReality\urban-reality-os\src\layers\terrain\TerrainFloodPlugin.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 15, 17, 158
"f:\urbanReality\urban-reality-os\src\main.jsx", "JavaScript JSX", 0, 0, 45, 0, 0, 0, 0, 3, 7, 55
"f:\urbanReality\urban-reality-os\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"f:\urbanReality\urban-reality-os\src\store\useMapStore.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 13, 18, 157
"f:\urbanReality\urban-reality-os\src\utils\aqi.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 6, 11, 69
"f:\urbanReality\urban-reality-os\src\utils\cache.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 17, 20, 120
"f:\urbanReality\urban-reality-os\src\utils\demographics.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 21, 12, 65
"f:\urbanReality\urban-reality-os\src\utils\economicLoss.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 6, 7, 37
"f:\urbanReality\urban-reality-os\src\utils\economics.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 2, 10, 119
"f:\urbanReality\urban-reality-os\src\utils\fetchers.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"f:\urbanReality\urban-reality-os\src\utils\gemini.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 21, 16, 129
"f:\urbanReality\urban-reality-os\src\utils\impactModel.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 14, 20, 127
"f:\urbanReality\urban-reality-os\src\utils\performance.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 16, 17, 105
"f:\urbanReality\urban-reality-os\src\utils\rainfall.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"f:\urbanReality\urban-reality-os\src\utils\safeFetch.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 3, 7, 31
"f:\urbanReality\urban-reality-os\src\utils\worldBank.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 17, 26, 154
"f:\urbanReality\urban-reality-os\src\workers\floodWorker.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"f:\urbanReality\urban-reality-os\src\workers\terrainWorker.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"f:\urbanReality\urban-reality-os\tailwind.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 2, 15
"f:\urbanReality\urban-reality-os\vite.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"f:\urbanReality\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"Total", "-", 4601, 9135, 6250, 170, 1, 109, 21, 940, 1596, 22823
